,index,City_name,Duration_minutes_x,Duration_str_x,Duration_hours_x,Duration_minutes_y,Duration_str_y,Duration_hours_y,In_Hour,Out_Hour,Price_x_x,Price_y_x,Price_Out_LCC,Price_Out_FSC,Price_Diff,Price_x_y,Price_y_y,Price_In_LCC,Price_In_FSC,Price_In_Diff,LCC_Price_Out_byHour,FSC_Price_Out_byHour,LCC_Price_In_byHour,FSC_Price_In_byHour,Price_Out_LCC_USD,Price_Out_FSC_USD,Price_In_LCC_USD,Price_In_FSC_USD,Price_Out_LCC_USD_by_Hour,Price_Out_FSC_USD_by_Hour,Price_In_LCC_USD_by_Hour,Price_In_FSC_USD_by_Hour
10,17,Ho Chi Minh City,308.2089552238806,5시간 8분,5.13681592039801,316.3480392156863,5시간 16분,5.2724673202614385,5.13681592039801,5.2724673202614385,228834.8148148148,559763.6752136752,228834.8148148148,559763.6752136752,330928.8603988604,228834.8148148148,608683.3780487805,228834.8148148148,608683.3780487805,379848.56323396566,43401.846026703846,106167.31052321041,44547.98816249664,118494.29441918149,176.0267806267806,430.5874424720579,176.0267806267806,468.21798311444655,33.386035405156804,81.66716194093108,34.26768320192049,91.14945724552422
11,18,Hong Kong ,222.77153558052436,3시간 43분,3.7128589263420726,233.55153203342618,3시간 54분,3.8925255338904363,3.7128589263420726,3.8925255338904363,135651.8951048951,277577.19444444444,135651.8951048951,277577.19444444444,141925.29933954932,135651.8951048951,358512.97575757577,135651.8951048951,358512.97575757577,222861.08065268066,34849.32697906185,71310.30792931402,36535.69871520544,96559.81626826435,104.34761161915009,213.5209188034188,104.34761161915009,275.77921212121214,26.807174599278348,54.85408302254925,28.10438362708111,74.27678174481872
12,19,Honolulu,585.1581027667984,9시간 45분,9.752635046113307,534.8507462686567,8시간 55분,8.914179104477613,9.752635046113307,8.914179104477613,413933.3333333333,1049329.632,413933.3333333333,1049329.632,635396.2986666667,413933.3333333333,1177302.9396551724,413933.3333333333,1177302.9396551724,763369.6063218392,46435.38440072554,117714.66780075344,42443.230098956396,120716.39450143887,318.4102564102564,807.17664,318.4102564102564,905.6176458885942,35.71952646209657,90.54974446211803,32.64863853765877,92.85876500110683
13,20,Incheon(Seoul),383.83800707868227,6시간 24분,6.3973001179780375,425.45967158938345,7시간 5분,7.090994526489724,6.3973001179780375,7.090994526489724,336845.7473847346,1081044.5791326386,336845.7473847346,1081044.5791326386,744198.831747904,336845.7473847346,660615.731710316,336845.7473847346,660615.731710316,323769.9843255814,47503.315102893524,152453.16790108866,52654.360616615835,103264.77100141325,259.1121133728728,831.5727531789528,259.1121133728728,508.16594746947385,36.5410116176104,117.27166761622205,40.50335432047372,79.43443923185635
14,23,Kaohshiung,172.17241379310346,2시간 52분,2.869540229885058,179.9404761904762,2시간 60분,2.9990079365079367,2.869540229885058,2.9990079365079367,166480.17094017094,322178.44554455444,166480.17094017094,322178.44554455444,155698.2746043835,166480.17094017094,375493.75,166480.17094017094,375493.75,209013.57905982906,55511.74737270668,107428.34042636813,58016.32233845331,130855.02203084316,128.06166995397766,247.8295734958111,128.06166995397766,288.84134615384613,42.7013441328513,82.6371849433601,44.6279402603487,100.65770925449473
15,25,Kota Kinabalu,317.16901408450707,5시간 17분,5.286150234741784,320.5263157894737,5시간 21분,5.342105263157895,5.286150234741784,5.342105263157895,212212.2837837838,650743.0,212212.2837837838,650743.0,438530.7162162162,212212.2837837838,533257.1428571428,212212.2837837838,533257.1428571428,321044.85907335905,39724.46691519106,121813.960591133,40144.95887556814,100878.16637379228,163.24021829521828,500.57153846153847,163.24021829521828,410.19780219780216,30.557282242454658,93.70304660856385,30.880737596590876,77.59858951830175
16,26,Kuala Lumpur,403.70646766169153,6시간 44분,6.728441127694859,393.330078125,6시간 33분,6.555501302083333,6.728441127694859,6.555501302083333,161012.9465648855,399862.41732283466,161012.9465648855,399862.41732283466,238849.47075794917,161012.9465648855,529497.4580645161,161012.9465648855,529497.4580645161,368484.5114996306,24561.50020345747,60996.466768416125,23930.200697178127,78695.41369472012,123.85611274221961,307.586474863719,123.85611274221961,407.30573697270466,18.893461694967286,46.92035905262779,18.40784669013702,60.53493361132317
17,29,Los Angeles,779.4582043343653,12시간 59분,12.990970072239422,693.3885542168674,11시간 33분,11.556475903614457,12.990970072239422,11.556475903614457,623103.3707865168,1360875.7654320989,623103.3707865168,1360875.7654320989,737772.3946455821,623103.3707865168,2846311.828685259,623103.3707865168,2846311.828685259,2223208.457898742,53918.1127519707,117758.71613304407,47964.3450274768,219099.25223887482,479.31028522039753,1046.8275118708452,479.31028522039753,2189.4706374501993,41.47547134766977,90.58362779464929,36.895650021136,168.537886337596
18,30,Macau,220.82834331337327,3시간 41분,3.680472388556221,232.09677419354838,3시간 52분,3.868279569892473,3.680472388556221,3.868279569892473,152469.55319148937,269247.9235294118,152469.55319148937,269247.9235294118,116778.37033792242,152469.55319148937,351242.3523316062,152469.55319148937,351242.3523316062,198772.79914011684,39415.339671462156,69604.04972407309,41426.62601289077,95434.04086489884,117.28427168576106,207.11378733031677,117.28427168576106,270.18642487046634,30.31949205497089,53.54157671082545,31.86663539453136,73.4108006653068
19,32,Manila,244.6260162601626,4시간 5분,4.07710027100271,256.0631136044881,4시간 16분,4.267718560074801,4.07710027100271,4.267718560074801,124031.31313131313,270088.4086538461,124031.31313131313,270088.4086538461,146057.095522533,124031.31313131313,368692.243697479,124031.31313131313,368692.243697479,244660.9305661659,29062.67397565673,63286.36831410744,30421.452720565354,90430.01623475009,95.40870240870241,207.7603143491124,95.40870240870241,283.60941822883,22.355903058197484,48.68182178008265,23.401117477357964,69.56155094980777
