tSNE1,tSNE2,cluster
4.802716,30.413279,1
3.4100795,34.129265,1
2.5735004,35.058273,1
-5.8090634,23.409529,1
25.164385,-2.9435139,1
31.62637,0.18285397,1
27.562862,1.6112933,1
27.863676,-3.3924143,1
31.961454,-8.988049,1
32.318413,-3.5783412,1
26.717745,-1.9325695,1
27.587965,-6.693177,1
30.157755,-0.9726646,1
32.467056,2.8927052,1
-4.2883725,23.782972,1
-4.995902,25.622196,1
-0.9293058,36.037945,1
-5.601976,26.003616,1
-0.8079533,36.360706,1
-6.395827,-12.630709,1
-11.907658,-9.862494,1
-9.140528,-4.0568504,1
-18.546274,-9.183029,1
-10.237952,-7.473647,1
1.2893962,34.08446,1
5.2624564,33.850952,1
-2.2478,29.299395,1
2.1673589,31.312109,1
3.2720816,28.272543,1
-3.3142543,24.802944,1
5.1037626,32.180424,1
0.086770326,28.10775,1
-3.4637084,24.718596,1
0.36364225,31.77705,1
5.1846676,33.850628,1
-0.9991025,34.470955,1
-1.7451037,26.317488,1
0.22592446,32.422935,1
0.8463194,33.1082,1
5.182591,33.82809,1
1.0808417,30.361801,1
-2.7907917,35.664906,1
-2.87982,35.631664,1
-2.0103478,34.17588,1
-6.240302,29.938412,1
-6.2788806,29.846788,1
-5.8500705,29.862724,1
-3.2135978,30.247066,1
-2.0169268,26.575377,1
-22.545925,-8.269428,1
-20.871834,-6.7912116,1
-17.087746,2.4997542,1
-11.323635,-16.794363,1
-22.420471,-6.2099175,1
-0.11486995,33.233482,1
-1.6811277,25.524073,1
1.3159617,33.000217,1
1.4255543,34.582268,1
0.34428585,29.327976,1
29.975285,3.221257,1
25.79822,3.394548,1
30.218876,6.630097,1
21.983206,2.9668345,1
23.921392,4.0559154,1
-1.9298265,-11.490476,1
-8.093352,-17.411055,1
-14.815931,-8.133477,1
-15.866691,-5.829291,1
-13.511223,-10.999407,1
-13.912076,-5.735812,1
-14.220958,-4.9083524,1
-18.47069,-5.207648,1
-18.132463,-12.841044,1
-14.2250185,-6.4253364,1
-9.481276,-8.525409,2
-6.428269,-7.781281,2
-10.8247,-7.505748,2
-9.223184,-6.10447,2
-9.202911,-5.544097,2
-1.7437354,31.016428,2
0.88671863,34.826294,2
0.69089466,34.84317,2
-1.4764454,28.526218,2
-4.012324,22.703686,2
-6.132713,-10.521932,2
-13.857066,-4.1818886,2
-0.95146865,-6.6696234,2
-9.065902,-3.6599576,2
-8.391305,-1.5119814,2
28.597227,2.4330294,2
27.768156,-3.3002236,2
27.167408,1.9932977,2
25.600788,-1.3129634,2
23.50662,6.323948,2
-14.424176,-16.06713,2
-15.962791,-14.475374,2
-13.815265,-5.361437,2
-16.527319,-5.136728,2
-15.887176,-11.8926,2
0.9824189,27.830593,2
-0.2808725,29.854097,2
1.9381561,32.42584,2
2.3660433,27.359793,2
1.6213456,31.56203,2
-8.14525,-14.933247,2
-17.722084,-9.810019,2
-19.352343,-9.423373,2
-15.26176,-4.0800257,2
-6.669996,-1.0441265,2
8.955214,-30.393627,2
9.390513,-30.600634,2
9.147576,-31.311956,2
7.817706,-32.692062,2
8.386567,-31.927935,2
-2.234194,-11.452064,2
-10.7897415,-9.785052,2
-8.566839,-2.2539697,2
-10.147095,-9.9853325,2
-21.008947,-9.270523,2
28.00236,-4.480692,2
21.086176,1.8385565,2
27.007853,-4.7159543,2
25.61518,3.9215126,2
29.291864,-4.63863,2
-4.280708,-8.28006,2
-4.9461026,-9.698769,2
-14.55933,-4.4014673,2
-21.348331,-2.3438265,2
-8.027178,-7.911496,2
-13.737116,-6.484323,2
-7.8517365,-5.0621705,2
-5.133173,-13.4534445,2
-6.3314595,-12.895576,2
-11.588044,-6.0399394,2
-4.462338,27.007763,2
-5.329681,27.776524,2
-4.331056,29.715466,2
-5.928559,24.76662,2
-0.42929977,26.370146,2
-14.134026,-13.063321,2
-10.005363,2.0035803,2
-14.100021,-7.860806,2
-9.41621,-12.519638,2
-9.66245,-13.056109,2
0.7772309,28.77998,2
-3.3010495,33.18454,2
2.602763,29.37845,2
2.6829827,29.086998,2
0.6239477,25.819057,2
-11.769645,-9.702218,2
-4.9278193,-9.842245,2
-11.732127,-14.138568,2
-13.874177,-12.434828,2
-14.460312,-7.176272,2
-6.5161524,-3.2256188,2
-13.452082,-5.688844,2
-12.745044,-14.849606,2
-6.7490563,-9.685783,2
-15.791088,-5.5687504,2
-13.116449,-14.94152,2
-13.170089,-9.015435,2
-17.199343,-5.8377624,2
-10.365994,-6.603991,2
-18.48157,-5.1262937,2
-9.30145,-10.036649,2
-10.509768,-13.009248,2
-4.709689,-9.7097,2
-4.8826494,-9.646169,2
-11.101133,-13.035649,2
-15.993617,-7.1930423,2
-10.258895,-6.7339153,2
-9.21357,-9.327324,2
-6.5540333,-19.246174,2
-12.440441,-4.364751,2
-1.1211164,27.915949,2
-0.29715073,35.160637,2
