UMAP1,UMAP2,cluster
-6.45612,11.743955,1
-6.388346,12.2806835,1
-6.1571746,11.747171,1
-5.661262,12.80811,1
-6.753839,11.97838,1
-6.464639,12.777981,1
-6.266391,12.006023,1
-5.210387,11.760148,1
0.80762726,-4.985543,1
1.0065542,-4.86255,1
0.34838998,-5.019364,1
0.99037254,-4.9927616,1
0.1623023,-5.066536,1
6.587352,7.0457635,1
7.6852164,7.10362,1
6.9146132,8.661018,1
7.55378,8.061708,1
7.3372755,7.6599517,1
-0.3353354,-4.7659044,1
-0.37601992,-4.960176,1
0.81294686,-4.80303,1
-0.17314406,-4.707815,1
0.1487833,-4.863044,1
0.7827667,-5.1586766,1
-0.50510067,-5.302709,1
0.53320503,-5.0900846,1
0.7603547,-5.280948,1
0.09229423,-4.804303,1
-0.4175055,-4.9862514,1
-0.02856369,-5.053104,1
0.3409274,-5.493711,1
0.0028899305,-4.9938464,1
-0.06855452,-5.047463,1
-0.5156892,-5.0772476,1
0.49587053,-4.4291234,1
0.3247998,-4.4125686,1
0.6125866,-4.523652,1
-0.046912134,-4.673281,1
0.7407074,-5.1879344,1
0.88427824,-5.1012197,1
0.66477275,-5.0700254,1
0.677205,-4.903245,1
0.15022022,-5.349359,1
7.677392,7.35288,1
8.206264,8.011261,1
7.8526855,9.0012455,1
6.155756,7.098575,1
7.769859,7.5277886,1
-0.058927238,-4.628393,1
0.6622039,-5.404796,1
-0.14337298,-5.383806,1
-0.41799015,-4.655002,1
0.6249132,-4.9190865,1
-5.9110646,11.730222,1
-5.4239097,11.57312,1
-6.053189,11.337778,1
-6.784091,11.23043,1
-6.5529375,10.878317,1
7.5251284,7.488939,1
7.355098,7.4459705,1
7.8676553,7.5002484,1
7.9765816,6.937655,1
7.0810633,8.044907,1
6.9466004,8.425151,1
7.5863323,7.437604,1
7.898881,7.9893913,1
7.1196604,7.421902,1
8.061714,7.961196,1
7.329443,7.052055,2
7.074437,8.020236,2
7.1970844,7.5840516,2
7.145269,8.083209,2
7.1747108,8.202277,2
-0.12374378,-4.604761,2
-0.36299187,-4.5458555,2
-0.27548057,-4.43032,2
0.31962496,-4.8259096,2
0.44402796,-4.915901,2
6.843558,8.211711,2
7.92797,8.348017,2
5.7801046,7.457495,2
6.9118137,8.735723,2
8.304467,7.670905,2
-6.4271574,11.400137,2
-6.2881045,11.451341,2
-6.4901366,11.593345,2
-6.8172145,12.539785,2
-6.623985,10.544686,2
6.593867,7.8297358,2
6.266075,8.261965,2
7.739862,8.304043,2
7.804221,8.194216,2
6.844144,8.052799,2
0.5946936,-4.949357,2
0.43605423,-5.106613,2
0.27994883,-4.7695184,2
0.30657113,-4.8755684,2
0.09520999,-5.5864472,2
6.110301,7.149152,2
